,Batch,Cell,Cell_line,Fullname,Place,Platform,Protocol,Protocol2,Read_type,Well,repeat
CL100033231_L01_54,Smart-Seq2 rep1,61,ESC,Smart-Seq2 rep1_61,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,F1,Smart-Seq2 rep1
CL100033231_L01_52,Smart-Seq2 rep1,37,ESC,Smart-Seq2 rep1_37,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,D1,Smart-Seq2 rep1
CL100033231_L01_73,Smart-Seq2 rep1,4,ESC,Smart-Seq2 rep1_4,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,A4,Smart-Seq2 rep1
CL100033231_L01_57,Smart-Seq2 rep1,2,ESC,Smart-Seq2 rep1_2,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,A2,Smart-Seq2 rep1
CL100033231_L01_78,Smart-Seq2 rep1,64,ESC,Smart-Seq2 rep1_64,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,F4,Smart-Seq2 rep1
CL100033231_L01_77,Smart-Seq2 rep1,52,ESC,Smart-Seq2 rep1_52,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,E4,Smart-Seq2 rep1
CL100033231_L01_80,Smart-Seq2 rep1,88,ESC,Smart-Seq2 rep1_88,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,H4,Smart-Seq2 rep1
CL100033231_L01_84,Smart-Seq2 rep1,41,ESC,Smart-Seq2 rep1_41,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,D5,Smart-Seq2 rep1
CL100033231_L01_76,Smart-Seq2 rep1,40,ESC,Smart-Seq2 rep1_40,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,D4,Smart-Seq2 rep1
CL100033231_L01_82,Smart-Seq2 rep1,17,ESC,Smart-Seq2 rep1_17,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,B5,Smart-Seq2 rep1
CL100029125_L01_39,Smart-Seq2 rep2,77,ESC,Smart-Seq2 rep2_77,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,G5,Smart-Seq2 rep2
CL100029125_L02_39,Smart-Seq2 rep2,83,ESC,Smart-Seq2 rep2_83,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,G11,Smart-Seq2 rep2
CL100033231_L02_62,Smart-Seq2 rep1,68,ESC,Smart-Seq2 rep1_68,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,F8,Smart-Seq2 rep1
CL100029125_L01_31,Smart-Seq2 rep2,76,ESC,Smart-Seq2 rep2_76,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,G4,Smart-Seq2 rep2
CL100033231_L02_70,Smart-Seq2 rep1,69,ESC,Smart-Seq2 rep1_69,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,F9,Smart-Seq2 rep1
CL100033231_L02_59,Smart-Seq2 rep1,32,ESC,Smart-Seq2 rep1_32,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,C8,Smart-Seq2 rep1
CL100033231_L02_51,Smart-Seq2 rep1,31,ESC,Smart-Seq2 rep1_31,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,C7,Smart-Seq2 rep1
CL100033231_L01_69,Smart-Seq2 rep1,51,ESC,Smart-Seq2 rep1_51,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,E3,Smart-Seq2 rep1
CL100033231_L02_67,Smart-Seq2 rep1,33,ESC,Smart-Seq2 rep1_33,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,C9,Smart-Seq2 rep1
CL100033231_L02_72,Smart-Seq2 rep1,93,ESC,Smart-Seq2 rep1_93,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,H9,Smart-Seq2 rep1
CL100033231_L02_68,Smart-Seq2 rep1,45,ESC,Smart-Seq2 rep1_45,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,D9,Smart-Seq2 rep1
CL100033231_L02_95,Smart-Seq2 rep1,84,ESC,Smart-Seq2 rep1_84,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,G12,Smart-Seq2 rep1
CL100033231_L02_91,Smart-Seq2 rep1,36,ESC,Smart-Seq2 rep1_36,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,C12,Smart-Seq2 rep1
CL100033231_L02_86,Smart-Seq2 rep1,71,ESC,Smart-Seq2 rep1_71,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,F11,Smart-Seq2 rep1
CL100033231_L02_92,Smart-Seq2 rep1,48,ESC,Smart-Seq2 rep1_48,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,D12,Smart-Seq2 rep1
CL100029125_L02_43,Smart-Seq2 rep2,36,ESC,Smart-Seq2 rep2_36,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,C12,Smart-Seq2 rep2
CL100029125_L01_47,Smart-Seq2 rep2,78,ESC,Smart-Seq2 rep2_78,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,G6,Smart-Seq2 rep2
CL100029125_L01_6,Smart-Seq2 rep2,61,ESC,Smart-Seq2 rep2_61,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,F1,Smart-Seq2 rep2
CL100033231_L01_62,Smart-Seq2 rep1,62,ESC,Smart-Seq2 rep1_62,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,F2,Smart-Seq2 rep1
CL100033231_L02_69,Smart-Seq2 rep1,57,ESC,Smart-Seq2 rep1_57,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,E9,Smart-Seq2 rep1
CL100029125_L01_1,Smart-Seq2 rep2,1,ESC,Smart-Seq2 rep2_1,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,A1,Smart-Seq2 rep2
CL100033231_L02_96,Smart-Seq2 rep1,96,ESC,Smart-Seq2 rep1_96,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,H12,Smart-Seq2 rep1
CL100033231_L01_90,Smart-Seq2 rep1,18,ESC,Smart-Seq2 rep1_18,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,B6,Smart-Seq2 rep1
CL100033231_L02_76,Smart-Seq2 rep1,46,ESC,Smart-Seq2 rep1_46,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,D10,Smart-Seq2 rep1
CL100033231_L02_53,Smart-Seq2 rep1,55,ESC,Smart-Seq2 rep1_55,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,E7,Smart-Seq2 rep1
CL100033231_L01_50,Smart-Seq2 rep1,13,ESC,Smart-Seq2 rep1_13,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,B1,Smart-Seq2 rep1
CL100033231_L02_71,Smart-Seq2 rep1,81,ESC,Smart-Seq2 rep1_81,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,G9,Smart-Seq2 rep1
CL100029125_L01_43,Smart-Seq2 rep2,30,ESC,Smart-Seq2 rep2_30,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,C6,Smart-Seq2 rep2
CL100033231_L01_81,Smart-Seq2 rep1,5,ESC,Smart-Seq2 rep1_5,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,A5,Smart-Seq2 rep1
CL100033231_L01_70,Smart-Seq2 rep1,63,ESC,Smart-Seq2 rep1_63,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,F3,Smart-Seq2 rep1
CL100033231_L02_55,Smart-Seq2 rep1,79,ESC,Smart-Seq2 rep1_79,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,G7,Smart-Seq2 rep1
CL100029125_L01_34,Smart-Seq2 rep2,17,ESC,Smart-Seq2 rep2_17,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,B5,Smart-Seq2 rep2
CL100029125_L01_27,Smart-Seq2 rep2,28,ESC,Smart-Seq2 rep2_28,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,C4,Smart-Seq2 rep2
CL100033231_L01_79,Smart-Seq2 rep1,76,ESC,Smart-Seq2 rep1_76,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,G4,Smart-Seq2 rep1
CL100029125_L02_8,Smart-Seq2 rep2,91,ESC,Smart-Seq2 rep2_91,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,H7,Smart-Seq2 rep2
CL100033231_L02_61,Smart-Seq2 rep1,56,ESC,Smart-Seq2 rep1_56,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,E8,Smart-Seq2 rep1
CL100033235_L01_49,SMARTer,1,ESC,SMARTer_1,China,BGISEQ-500,SMARTer,BGISEQ-500 SMARTer,PE100,A1,SMARTer
CL100029125_L02_48,Smart-Seq2 rep2,96,ESC,Smart-Seq2 rep2_96,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,H12,Smart-Seq2 rep2
CL100033231_L01_91,Smart-Seq2 rep1,30,ESC,Smart-Seq2 rep1_30,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,C6,Smart-Seq2 rep1
CL100029125_L01_16,Smart-Seq2 rep2,86,ESC,Smart-Seq2 rep2_86,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,H2,Smart-Seq2 rep2
CL100033231_L01_68,Smart-Seq2 rep1,39,ESC,Smart-Seq2 rep1_39,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,D3,Smart-Seq2 rep1
CL100033231_L02_58,Smart-Seq2 rep1,20,ESC,Smart-Seq2 rep1_20,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,B8,Smart-Seq2 rep1
CL100033231_L01_67,Smart-Seq2 rep1,27,ESC,Smart-Seq2 rep1_27,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,C3,Smart-Seq2 rep1
CL100033231_L01_75,Smart-Seq2 rep1,28,ESC,Smart-Seq2 rep1_28,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,C4,Smart-Seq2 rep1
CL100033231_L02_65,Smart-Seq2 rep1,9,ESC,Smart-Seq2 rep1_9,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,A9,Smart-Seq2 rep1
CL100029125_L02_14,Smart-Seq2 rep2,68,ESC,Smart-Seq2 rep2_68,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,F8,Smart-Seq2 rep2
CL100033231_L02_79,Smart-Seq2 rep1,82,ESC,Smart-Seq2 rep1_82,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,G10,Smart-Seq2 rep1
CL100033231_L01_65,Smart-Seq2 rep1,3,ESC,Smart-Seq2 rep1_3,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,A3,Smart-Seq2 rep1
CL100033231_L01_74,Smart-Seq2 rep1,16,ESC,Smart-Seq2 rep1_16,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,B4,Smart-Seq2 rep1
CL100033231_L01_86,Smart-Seq2 rep1,65,ESC,Smart-Seq2 rep1_65,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,F5,Smart-Seq2 rep1
CL100033231_L02_50,Smart-Seq2 rep1,19,ESC,Smart-Seq2 rep1_19,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,B7,Smart-Seq2 rep1
CL100033231_L01_95,Smart-Seq2 rep1,78,ESC,Smart-Seq2 rep1_78,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,G6,Smart-Seq2 rep1
CL100033231_L01_63,Smart-Seq2 rep1,74,ESC,Smart-Seq2 rep1_74,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,G2,Smart-Seq2 rep1
CL100029125_L02_45,Smart-Seq2 rep2,60,ESC,Smart-Seq2 rep2_60,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,E12,Smart-Seq2 rep2
CL100033231_L02_73,Smart-Seq2 rep1,10,ESC,Smart-Seq2 rep1_10,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,A10,Smart-Seq2 rep1
CL100033231_L01_56,Smart-Seq2 rep1,85,ESC,Smart-Seq2 rep1_85,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,H1,Smart-Seq2 rep1
CL100033231_L01_64,Smart-Seq2 rep1,86,ESC,Smart-Seq2 rep1_86,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,H2,Smart-Seq2 rep1
CL100033231_L01_87,Smart-Seq2 rep1,77,ESC,Smart-Seq2 rep1_77,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,G5,Smart-Seq2 rep1
CL100033231_L01_85,Smart-Seq2 rep1,53,ESC,Smart-Seq2 rep1_53,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,E5,Smart-Seq2 rep1
CL100033231_L01_53,Smart-Seq2 rep1,49,ESC,Smart-Seq2 rep1_49,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,E1,Smart-Seq2 rep1
CL100033231_L02_84,Smart-Seq2 rep1,47,ESC,Smart-Seq2 rep1_47,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,D11,Smart-Seq2 rep1
CL100033231_L01_49,Smart-Seq2 rep1,1,ESC,Smart-Seq2 rep1_1,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,A1,Smart-Seq2 rep1
CL100033231_L01_60,Smart-Seq2 rep1,38,ESC,Smart-Seq2 rep1_38,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,D2,Smart-Seq2 rep1
CL100033231_L02_94,Smart-Seq2 rep1,72,ESC,Smart-Seq2 rep1_72,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,F12,Smart-Seq2 rep1
CL100033231_L02_81,Smart-Seq2 rep1,11,ESC,Smart-Seq2 rep1_11,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,A11,Smart-Seq2 rep1
CL100033231_L02_63,Smart-Seq2 rep1,80,ESC,Smart-Seq2 rep1_80,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,G8,Smart-Seq2 rep1
CL100033231_L01_93,Smart-Seq2 rep1,54,ESC,Smart-Seq2 rep1_54,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,E6,Smart-Seq2 rep1
CL100033231_L02_82,Smart-Seq2 rep1,23,ESC,Smart-Seq2 rep1_23,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,B11,Smart-Seq2 rep1
CL100033231_L02_52,Smart-Seq2 rep1,43,ESC,Smart-Seq2 rep1_43,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,D7,Smart-Seq2 rep1
CL100029125_L01_41,Smart-Seq2 rep2,6,ESC,Smart-Seq2 rep2_6,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,A6,Smart-Seq2 rep2
CL100033231_L01_59,Smart-Seq2 rep1,26,ESC,Smart-Seq2 rep1_26,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,C2,Smart-Seq2 rep1
CL100033231_L01_61,Smart-Seq2 rep1,50,ESC,Smart-Seq2 rep1_50,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,E2,Smart-Seq2 rep1
CL100029125_L02_21,Smart-Seq2 rep2,57,ESC,Smart-Seq2 rep2_57,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,E9,Smart-Seq2 rep2
CL100029125_L01_22,Smart-Seq2 rep2,63,ESC,Smart-Seq2 rep2_63,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,F3,Smart-Seq2 rep2
CL100033231_L02_89,Smart-Seq2 rep1,12,ESC,Smart-Seq2 rep1_12,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,A12,Smart-Seq2 rep1
CL100033231_L02_49,Smart-Seq2 rep1,7,ESC,Smart-Seq2 rep1_7,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,A7,Smart-Seq2 rep1
CL100033231_L02_83,Smart-Seq2 rep1,35,ESC,Smart-Seq2 rep1_35,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,C11,Smart-Seq2 rep1
CL100029125_L01_37,Smart-Seq2 rep2,53,ESC,Smart-Seq2 rep2_53,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,E5,Smart-Seq2 rep2
CL100029125_L02_46,Smart-Seq2 rep2,72,ESC,Smart-Seq2 rep2_72,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,F12,Smart-Seq2 rep2
CL100033231_L02_85,Smart-Seq2 rep1,59,ESC,Smart-Seq2 rep1_59,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,E11,Smart-Seq2 rep1
CL100033231_L02_90,Smart-Seq2 rep1,24,ESC,Smart-Seq2 rep1_24,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,B12,Smart-Seq2 rep1
CL100029125_L02_47,Smart-Seq2 rep2,84,ESC,Smart-Seq2 rep2_84,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,G12,Smart-Seq2 rep2
CL100029125_L02_9,Smart-Seq2 rep2,8,ESC,Smart-Seq2 rep2_8,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,A8,Smart-Seq2 rep2
CL100033231_L02_64,Smart-Seq2 rep1,92,ESC,Smart-Seq2 rep1_92,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,H8,Smart-Seq2 rep1
CL100033231_L01_94,Smart-Seq2 rep1,66,ESC,Smart-Seq2 rep1_66,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,F6,Smart-Seq2 rep1
CL100033231_L01_51,Smart-Seq2 rep1,25,ESC,Smart-Seq2 rep1_25,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,C1,Smart-Seq2 rep1
CL100033231_L01_92,Smart-Seq2 rep1,42,ESC,Smart-Seq2 rep1_42,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,D6,Smart-Seq2 rep1
CL100033231_L02_75,Smart-Seq2 rep1,34,ESC,Smart-Seq2 rep1_34,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,C10,Smart-Seq2 rep1
CL100033231_L01_96,Smart-Seq2 rep1,90,ESC,Smart-Seq2 rep1_90,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,H6,Smart-Seq2 rep1
CL100033231_L02_66,Smart-Seq2 rep1,21,ESC,Smart-Seq2 rep1_21,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,B9,Smart-Seq2 rep1
CL100033235_L01_55,SMARTer,73,ESC,SMARTer_73,China,BGISEQ-500,SMARTer,BGISEQ-500 SMARTer,PE100,G1,SMARTer
CL100033235_L01_53,SMARTer,49,ESC,SMARTer_49,China,BGISEQ-500,SMARTer,BGISEQ-500 SMARTer,PE100,E1,SMARTer
CL100033231_L02_77,Smart-Seq2 rep1,58,ESC,Smart-Seq2 rep1_58,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,E10,Smart-Seq2 rep1
CL100029125_L02_6,Smart-Seq2 rep2,67,ESC,Smart-Seq2 rep2_67,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,F7,Smart-Seq2 rep2
CL100033231_L02_87,Smart-Seq2 rep1,83,ESC,Smart-Seq2 rep1_83,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,G11,Smart-Seq2 rep1
CL100033231_L02_54,Smart-Seq2 rep1,67,ESC,Smart-Seq2 rep1_67,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,F7,Smart-Seq2 rep1
CL100033235_L01_56,SMARTer,85,ESC,SMARTer_85,China,BGISEQ-500,SMARTer,BGISEQ-500 SMARTer,PE100,H1,SMARTer
CL100029125_L02_42,Smart-Seq2 rep2,24,ESC,Smart-Seq2 rep2_24,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,B12,Smart-Seq2 rep2
CL100033231_L02_74,Smart-Seq2 rep1,22,ESC,Smart-Seq2 rep1_22,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,B10,Smart-Seq2 rep1
CL100033231_L01_58,Smart-Seq2 rep1,14,ESC,Smart-Seq2 rep1_14,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,B2,Smart-Seq2 rep1
CL100033231_L01_89,Smart-Seq2 rep1,6,ESC,Smart-Seq2 rep1_6,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,A6,Smart-Seq2 rep1
CL100033231_L01_71,Smart-Seq2 rep1,75,ESC,Smart-Seq2 rep1_75,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,G3,Smart-Seq2 rep1
CL100033235_L01_54,SMARTer,61,ESC,SMARTer_61,China,BGISEQ-500,SMARTer,BGISEQ-500 SMARTer,PE100,F1,SMARTer
CL100029125_L02_30,Smart-Seq2 rep2,70,ESC,Smart-Seq2 rep2_70,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,F10,Smart-Seq2 rep2
CL100033231_L02_80,Smart-Seq2 rep1,94,ESC,Smart-Seq2 rep1_94,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,H10,Smart-Seq2 rep1
CL100033231_L02_60,Smart-Seq2 rep1,44,ESC,Smart-Seq2 rep1_44,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,D8,Smart-Seq2 rep1
CL100029125_L02_40,Smart-Seq2 rep2,95,ESC,Smart-Seq2 rep2_95,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,H11,Smart-Seq2 rep2
CL100033231_L02_78,Smart-Seq2 rep1,70,ESC,Smart-Seq2 rep1_70,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,F10,Smart-Seq2 rep1
CL100033231_L02_88,Smart-Seq2 rep1,95,ESC,Smart-Seq2 rep1_95,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,H11,Smart-Seq2 rep1
CL100033231_L01_72,Smart-Seq2 rep1,87,ESC,Smart-Seq2 rep1_87,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,H3,Smart-Seq2 rep1
CL100029125_L01_40,Smart-Seq2 rep2,89,ESC,Smart-Seq2 rep2_89,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,H5,Smart-Seq2 rep2
CL100033235_L01_59,SMARTer,26,ESC,SMARTer_26,China,BGISEQ-500,SMARTer,BGISEQ-500 SMARTer,PE100,C2,SMARTer
CL100033231_L01_88,Smart-Seq2 rep1,89,ESC,Smart-Seq2 rep1_89,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,H5,Smart-Seq2 rep1
CL100033231_L02_56,Smart-Seq2 rep1,91,ESC,Smart-Seq2 rep1_91,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,H7,Smart-Seq2 rep1
CL100033235_L01_60,SMARTer,38,ESC,SMARTer_38,China,BGISEQ-500,SMARTer,BGISEQ-500 SMARTer,PE100,D2,SMARTer
CL100029125_L02_26,Smart-Seq2 rep2,22,ESC,Smart-Seq2 rep2_22,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,B10,Smart-Seq2 rep2
CL100033231_L01_66,Smart-Seq2 rep1,15,ESC,Smart-Seq2 rep1_15,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,B3,Smart-Seq2 rep1
CL100033235_L01_58,SMARTer,14,ESC,SMARTer_14,China,BGISEQ-500,SMARTer,BGISEQ-500 SMARTer,PE100,B2,SMARTer
CL100033231_L01_83,Smart-Seq2 rep1,29,ESC,Smart-Seq2 rep1_29,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,C5,Smart-Seq2 rep1
CL100033231_L02_93,Smart-Seq2 rep1,60,ESC,Smart-Seq2 rep1_60,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,E12,Smart-Seq2 rep1
CL100033235_L01_63,SMARTer,74,ESC,SMARTer_74,China,BGISEQ-500,SMARTer,BGISEQ-500 SMARTer,PE100,G2,SMARTer
CL100033235_L01_61,SMARTer,50,ESC,SMARTer_50,China,BGISEQ-500,SMARTer,BGISEQ-500 SMARTer,PE100,E2,SMARTer
CL100033231_L02_57,Smart-Seq2 rep1,8,ESC,Smart-Seq2 rep1_8,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep1,PE100,A8,Smart-Seq2 rep1
